business_id,attribute,value
5UmKMjUEUNdYWqANhGckJw,Take-out,True
5UmKMjUEUNdYWqANhGckJw,Drive-Thru,False
5UmKMjUEUNdYWqANhGckJw,Caters,False
5UmKMjUEUNdYWqANhGckJw,Noise Level,average
5UmKMjUEUNdYWqANhGckJw,Takes Reservations,False
5UmKMjUEUNdYWqANhGckJw,Delivery,False
5UmKMjUEUNdYWqANhGckJw,Has TV,False
5UmKMjUEUNdYWqANhGckJw,Outdoor Seating,False
5UmKMjUEUNdYWqANhGckJw,Attire,casual
5UmKMjUEUNdYWqANhGckJw,Alcohol,none
5UmKMjUEUNdYWqANhGckJw,Waiter Service,False
5UmKMjUEUNdYWqANhGckJw,Accepts Credit Cards,True
5UmKMjUEUNdYWqANhGckJw,Good for Kids,True
5UmKMjUEUNdYWqANhGckJw,Good For Groups,True
5UmKMjUEUNdYWqANhGckJw,Price Range,1
UsFtqoBl7naz8AVUBZMjQQ,Happy Hour,True
UsFtqoBl7naz8AVUBZMjQQ,Accepts Credit Cards,True
UsFtqoBl7naz8AVUBZMjQQ,Good For Groups,True
UsFtqoBl7naz8AVUBZMjQQ,Outdoor Seating,False
UsFtqoBl7naz8AVUBZMjQQ,Price Range,1
cE27W9VPgO88Qxe4ol6y_g,Good for Kids,True
HZdLhv6COCleJMo7nPl-RA,Accepts Credit Cards,False
HZdLhv6COCleJMo7nPl-RA,Price Range,2
mVHrayjG3uZ_RLHkLj-AMg,Alcohol,full_bar
mVHrayjG3uZ_RLHkLj-AMg,Noise Level,average
mVHrayjG3uZ_RLHkLj-AMg,Has TV,True
mVHrayjG3uZ_RLHkLj-AMg,Attire,casual
mVHrayjG3uZ_RLHkLj-AMg,Good for Kids,True
mVHrayjG3uZ_RLHkLj-AMg,Price Range,1
mVHrayjG3uZ_RLHkLj-AMg,Good For Dancing,False
mVHrayjG3uZ_RLHkLj-AMg,Delivery,False
mVHrayjG3uZ_RLHkLj-AMg,Coat Check,False
mVHrayjG3uZ_RLHkLj-AMg,Smoking,no
mVHrayjG3uZ_RLHkLj-AMg,Accepts Credit Cards,True
mVHrayjG3uZ_RLHkLj-AMg,Take-out,True
mVHrayjG3uZ_RLHkLj-AMg,Happy Hour,False
mVHrayjG3uZ_RLHkLj-AMg,Outdoor Seating,False
mVHrayjG3uZ_RLHkLj-AMg,Takes Reservations,False
mVHrayjG3uZ_RLHkLj-AMg,Waiter Service,True
mVHrayjG3uZ_RLHkLj-AMg,Wi-Fi,no
mVHrayjG3uZ_RLHkLj-AMg,Caters,True
mVHrayjG3uZ_RLHkLj-AMg,Good For Groups,True
VHYT1qgQw5JvXAlUDhTArA,Good for Kids,False
KayYbHCt-RkbGcPdGOThNg,Alcohol,full_bar
KayYbHCt-RkbGcPdGOThNg,Noise Level,loud
KayYbHCt-RkbGcPdGOThNg,Has TV,True
KayYbHCt-RkbGcPdGOThNg,Attire,casual
KayYbHCt-RkbGcPdGOThNg,Good for Kids,False
KayYbHCt-RkbGcPdGOThNg,Price Range,1
KayYbHCt-RkbGcPdGOThNg,Good For Dancing,True
KayYbHCt-RkbGcPdGOThNg,Delivery,False
KayYbHCt-RkbGcPdGOThNg,Coat Check,False
KayYbHCt-RkbGcPdGOThNg,Smoking,outdoor
KayYbHCt-RkbGcPdGOThNg,Accepts Credit Cards,True
KayYbHCt-RkbGcPdGOThNg,Take-out,True
KayYbHCt-RkbGcPdGOThNg,Happy Hour,True
KayYbHCt-RkbGcPdGOThNg,Outdoor Seating,True
KayYbHCt-RkbGcPdGOThNg,Takes Reservations,False
KayYbHCt-RkbGcPdGOThNg,Waiter Service,True
KayYbHCt-RkbGcPdGOThNg,Wi-Fi,free
KayYbHCt-RkbGcPdGOThNg,Caters,False
KayYbHCt-RkbGcPdGOThNg,Good For Groups,True
Sktj1eHQFuVa-M4bgnEh8g,Good for Kids,True
wJr6kSA5dchdgOdwH6dZ2w,Take-out,True
wJr6kSA5dchdgOdwH6dZ2w,Drive-Thru,False
wJr6kSA5dchdgOdwH6dZ2w,Takes Reservations,False
wJr6kSA5dchdgOdwH6dZ2w,Delivery,False
wJr6kSA5dchdgOdwH6dZ2w,Wheelchair Accessible,True
wJr6kSA5dchdgOdwH6dZ2w,Outdoor Seating,False
wJr6kSA5dchdgOdwH6dZ2w,Attire,casual
wJr6kSA5dchdgOdwH6dZ2w,Alcohol,none
wJr6kSA5dchdgOdwH6dZ2w,Waiter Service,True
wJr6kSA5dchdgOdwH6dZ2w,Accepts Credit Cards,True
wJr6kSA5dchdgOdwH6dZ2w,Good for Kids,True
