business_id,Good For,value
5UmKMjUEUNdYWqANhGckJw,dessert,False
5UmKMjUEUNdYWqANhGckJw,latenight,False
5UmKMjUEUNdYWqANhGckJw,lunch,False
5UmKMjUEUNdYWqANhGckJw,dinner,False
5UmKMjUEUNdYWqANhGckJw,brunch,False
5UmKMjUEUNdYWqANhGckJw,breakfast,False
mVHrayjG3uZ_RLHkLj-AMg,dessert,False
mVHrayjG3uZ_RLHkLj-AMg,latenight,False
mVHrayjG3uZ_RLHkLj-AMg,lunch,True
mVHrayjG3uZ_RLHkLj-AMg,dinner,False
mVHrayjG3uZ_RLHkLj-AMg,breakfast,False
mVHrayjG3uZ_RLHkLj-AMg,brunch,False
KayYbHCt-RkbGcPdGOThNg,dessert,False
KayYbHCt-RkbGcPdGOThNg,latenight,False
KayYbHCt-RkbGcPdGOThNg,lunch,False
KayYbHCt-RkbGcPdGOThNg,dinner,True
KayYbHCt-RkbGcPdGOThNg,brunch,False
KayYbHCt-RkbGcPdGOThNg,breakfast,False
wJr6kSA5dchdgOdwH6dZ2w,dessert,False
wJr6kSA5dchdgOdwH6dZ2w,latenight,False
wJr6kSA5dchdgOdwH6dZ2w,lunch,False
wJr6kSA5dchdgOdwH6dZ2w,dinner,False
wJr6kSA5dchdgOdwH6dZ2w,brunch,False
wJr6kSA5dchdgOdwH6dZ2w,breakfast,False
fNGIbpazjTRdXgwRY_NIXA,dessert,False
fNGIbpazjTRdXgwRY_NIXA,latenight,False
fNGIbpazjTRdXgwRY_NIXA,lunch,False
fNGIbpazjTRdXgwRY_NIXA,dinner,False
fNGIbpazjTRdXgwRY_NIXA,brunch,False
fNGIbpazjTRdXgwRY_NIXA,breakfast,False
b9WZJp5L1RZr4F1nxclOoQ,dessert,False
b9WZJp5L1RZr4F1nxclOoQ,latenight,False
b9WZJp5L1RZr4F1nxclOoQ,lunch,False
b9WZJp5L1RZr4F1nxclOoQ,dinner,False
b9WZJp5L1RZr4F1nxclOoQ,brunch,False
b9WZJp5L1RZr4F1nxclOoQ,breakfast,True
zaXDakTd3RXyOa7sMrUE1g,dessert,False
zaXDakTd3RXyOa7sMrUE1g,latenight,False
zaXDakTd3RXyOa7sMrUE1g,lunch,False
zaXDakTd3RXyOa7sMrUE1g,dinner,False
zaXDakTd3RXyOa7sMrUE1g,breakfast,False
zaXDakTd3RXyOa7sMrUE1g,brunch,True
WETE_LykpcnrC1sFcQ5EGg,dessert,False
WETE_LykpcnrC1sFcQ5EGg,latenight,True
WETE_LykpcnrC1sFcQ5EGg,lunch,False
WETE_LykpcnrC1sFcQ5EGg,dinner,True
WETE_LykpcnrC1sFcQ5EGg,brunch,False
WETE_LykpcnrC1sFcQ5EGg,breakfast,False
wqu7ILomIOPSduRwoWp4AQ,dessert,False
wqu7ILomIOPSduRwoWp4AQ,latenight,False
wqu7ILomIOPSduRwoWp4AQ,lunch,False
