business_id,Parking,value
5UmKMjUEUNdYWqANhGckJw,garage,False
5UmKMjUEUNdYWqANhGckJw,street,False
5UmKMjUEUNdYWqANhGckJw,validated,False
5UmKMjUEUNdYWqANhGckJw,lot,False
5UmKMjUEUNdYWqANhGckJw,valet,False
HZdLhv6COCleJMo7nPl-RA,garage,False
HZdLhv6COCleJMo7nPl-RA,street,False
HZdLhv6COCleJMo7nPl-RA,validated,False
HZdLhv6COCleJMo7nPl-RA,lot,False
HZdLhv6COCleJMo7nPl-RA,valet,False
mVHrayjG3uZ_RLHkLj-AMg,garage,False
mVHrayjG3uZ_RLHkLj-AMg,street,False
mVHrayjG3uZ_RLHkLj-AMg,validated,False
mVHrayjG3uZ_RLHkLj-AMg,lot,False
mVHrayjG3uZ_RLHkLj-AMg,valet,False
KayYbHCt-RkbGcPdGOThNg,garage,False
KayYbHCt-RkbGcPdGOThNg,street,False
KayYbHCt-RkbGcPdGOThNg,validated,False
KayYbHCt-RkbGcPdGOThNg,lot,True
KayYbHCt-RkbGcPdGOThNg,valet,False
wJr6kSA5dchdgOdwH6dZ2w,garage,False
wJr6kSA5dchdgOdwH6dZ2w,street,False
wJr6kSA5dchdgOdwH6dZ2w,validated,False
wJr6kSA5dchdgOdwH6dZ2w,lot,False
wJr6kSA5dchdgOdwH6dZ2w,valet,False
yXuao0pFz1AxB21vJjDf5w,garage,False
yXuao0pFz1AxB21vJjDf5w,street,False
yXuao0pFz1AxB21vJjDf5w,validated,False
yXuao0pFz1AxB21vJjDf5w,lot,True
yXuao0pFz1AxB21vJjDf5w,valet,False
fNGIbpazjTRdXgwRY_NIXA,garage,False
fNGIbpazjTRdXgwRY_NIXA,street,False
fNGIbpazjTRdXgwRY_NIXA,validated,False
fNGIbpazjTRdXgwRY_NIXA,lot,True
fNGIbpazjTRdXgwRY_NIXA,valet,False
b9WZJp5L1RZr4F1nxclOoQ,garage,False
b9WZJp5L1RZr4F1nxclOoQ,street,False
b9WZJp5L1RZr4F1nxclOoQ,validated,False
b9WZJp5L1RZr4F1nxclOoQ,lot,True
b9WZJp5L1RZr4F1nxclOoQ,valet,False
zaXDakTd3RXyOa7sMrUE1g,garage,False
zaXDakTd3RXyOa7sMrUE1g,street,False
zaXDakTd3RXyOa7sMrUE1g,validated,False
zaXDakTd3RXyOa7sMrUE1g,lot,False
zaXDakTd3RXyOa7sMrUE1g,valet,False
WETE_LykpcnrC1sFcQ5EGg,garage,False
WETE_LykpcnrC1sFcQ5EGg,street,True
WETE_LykpcnrC1sFcQ5EGg,validated,False
WETE_LykpcnrC1sFcQ5EGg,lot,False
WETE_LykpcnrC1sFcQ5EGg,valet,False
rv7CY8G_XibTx82YhuqQRw,garage,False
rv7CY8G_XibTx82YhuqQRw,street,False
rv7CY8G_XibTx82YhuqQRw,validated,False
rv7CY8G_XibTx82YhuqQRw,lot,False
rv7CY8G_XibTx82YhuqQRw,valet,False
SQ0j7bgSTazkVQlF5AnqyQ,garage,False
SQ0j7bgSTazkVQlF5AnqyQ,street,False
SQ0j7bgSTazkVQlF5AnqyQ,validated,False
SQ0j7bgSTazkVQlF5AnqyQ,lot,False
SQ0j7bgSTazkVQlF5AnqyQ,valet,False
wqu7ILomIOPSduRwoWp4AQ,garage,False
wqu7ILomIOPSduRwoWp4AQ,street,False
wqu7ILomIOPSduRwoWp4AQ,validated,False
wqu7ILomIOPSduRwoWp4AQ,lot,False
wqu7ILomIOPSduRwoWp4AQ,valet,False
P1fJb2WQ1mXoiudj8UE44w,garage,False
